469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04011;Stadt Bremen;2014-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;153176;37989;87167;18770
04011;Stadt Bremen;2014-05;Sonstige Einrichtungen 3);5;678;15174;1658;3399;793
04011;Stadt Bremen;2014-05;Insgesamt;94;10589;168350;39647;90566;19563
04011;Stadt Bremen;2014-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;127660;35659;70611;16658
04011;Stadt Bremen;2014-04;Sonstige Einrichtungen 3);5;678;14019;2089;3237;883
04011;Stadt Bremen;2014-04;Insgesamt;94;10589;141679;37748;73848;17541
04011;Stadt Bremen;2014-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;132378;29081;74329;13472
04011;Stadt Bremen;2014-03;Sonstige Einrichtungen 3);5;678;13464;1164;2610;415
04011;Stadt Bremen;2014-03;Insgesamt;94;10589;145842;30245;76939;13887
04011;Stadt Bremen;2014-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;117264;25472;68947;12416
04011;Stadt Bremen;2014-02;Sonstige Einrichtungen 3);5;678;11723;1182;2445;433
04011;Stadt Bremen;2014-02;Insgesamt;94;10589;128987;26654;71392;12849
04011;Stadt Bremen;2014-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;104247;22650;61662;11357
04011;Stadt Bremen;2014-01;Sonstige Einrichtungen 3);5;678;7244;866;1643;308
04011;Stadt Bremen;2014-01;Insgesamt;94;10589;111491;23516;63305;11665
04011;Stadt Bremen;2013-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;139035;35564;81172;18044
04011;Stadt Bremen;2013-12;Sonstige Einrichtungen 3);4;443;7861;1139;2087;407
04011;Stadt Bremen;2013-12;Insgesamt;93;10099;146896;36703;83259;18451
04011;Stadt Bremen;2013-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;142219;33828;83753;17192
04011;Stadt Bremen;2013-11;Sonstige Einrichtungen 3);4;443;8037;900;2502;412
04011;Stadt Bremen;2013-11;Insgesamt;93;10099;150256;34728;86255;17604
04011;Stadt Bremen;2013-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9656;149622;37775;85594;19298
04011;Stadt Bremen;2013-10;Sonstige Einrichtungen 3);4;443;10209;852;3636;455
04011;Stadt Bremen;2013-10;Insgesamt;93;10099;159831;38627;89230;19753
