jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2017,12,03153,193375,64670
2018,12,03153,,
2009,12,03154,9956,5707
2010,12,03154,10121,5956
2011,12,03154,10853,5882
2012,12,03154,11345,6485
2013,12,03154,10889,6411
2014,12,03154,10010,5886
2015,12,03154,11716,6548
2016,12,03154,10496,6149
2017,12,03154,11084,5874
2018,12,03154,,
2009,12,03155,35393,9128
2010,12,03155,30582,9621
2011,12,03155,30763,8924
2012,12,03155,30252,8904
2013,12,03155,26395,7777
2014,12,03155,26881,8310
2015,12,03155,24256,7715
2016,12,03155,25779,8505
2017,12,03155,24943,8505
2018,12,03155,,
2009,12,03157,6942,3184
2010,12,03157,5564,3161
2011,12,03157,9237,4086
2012,12,03157,5463,2966
2013,12,03157,5980,3165
2014,12,03157,5544,3166
2015,12,03157,5231,2891
2016,12,03157,5311,2898
2017,12,03157,6013,3408
2018,12,03157,,
2009,12,03158,6694,3052
2010,12,03158,7498,3186
2011,12,03158,8540,3615
2012,12,03158,8974,3594
2013,12,03158,8572,3270
2014,12,03158,8952,3350
